Gene	miRNA
VPS39	hsa-mir-627
SERF2	hsa-mir-1282
SERF2-C15ORF63	hsa-mir-1282
C15orf48	hsa-mir-147b
MYO5C	hsa-mir-1266
DYX1C1-CCPG1	hsa-mir-628
CCPG1	hsa-mir-628
MYO1E	hsa-mir-2116
TLN2	hsa-mir-190
RBPMS2	hsa-mir-1272
MEGF11	hsa-mir-4311
SCARNA14	U100
TIPIN	U100
RPL4	U18C
SNORD18C	U18C
RPL4	U18B
SNORD18B	U18B
RPL4	U16
SNORD16	U16
RPL4	U18A
SNORD18A	U18A
ANP32A	hsa-mir-4312
TLE3	hsa-mir-629
NEIL1	hsa-mir-631
LOC729911	hsa-mir-184
KIAA1199	hsa-mir-549
SCARNA15	ACA45
KLHL25	hsa-mir-1276
ZNF710	hsa-mir-3174
CHD2	hsa-mir-3175
NR2F2	hsa-mir-1469
SOLH	hsa-mir-3176
MAPK8IP3	hsa-mir-3177
SNORA10	ACA10
RPS2	ACA10
SNORA64	U64
RPS2	U64
SNORA78	ACA64
SNHG9	ACA64
PKD1	hsa-mir-1225
SNORD60	U60
PDXDC1	hsa-mir-1972-1
HS3ST4	hsa-mir-548w
SRCAP	ACA30
SNORA30	ACA30
BCL7C	hsa-mir-762
CYLD	hsa-mir-3181
CNOT1	ACA46
SNORA46	ACA46
CNOT1	ACA50
SNORA50	ACA50
ELMO3	hsa-mir-328
WWP2	hsa-mir-140
PDXDC2P	hsa-mir-1972-2
SF3B3	HBII-82B
SNORD111B	HBII-82B
SNORD111	HBII-82
SF3B3	HBII-82
PHLPP2	U70D
SNORA70D	U70D
AP1G1	HBII-239
SNORD71	HBII-239
CDH13	hsa-mir-3182
C16orf74	hsa-mir-1910
RPL13	HBII-202
SNORD68	HBII-202
ABR	hsa-mir-3183
TSR1	HBII-296B
SNORD91B	HBII-296B
TSR1	HBII-296A
SNORD91A	HBII-296A
ACADVL	hsa-mir-324
SENP3-EIF4A1	ACA48
EIF4A1	ACA48
SNORA48	ACA48
SENP3-EIF4A1	mgU6-77
EIF4A1	mgU6-77
SNORD10	mgU6-77
SENP3-EIF4A1	U67
EIF4A1	U67
SNORA67	U67
SCARNA21	ACA68
CHD3	ACA68
TMEM107	U8
MAP2K4	hsa-mir-744
HS3ST3A1	hsa-mir-548h-3
PIGL	hsa-mir-1288
C17orf76-AS1	U49B
SNORD49B	U49B
C17orf76-AS1	U49A
SNORD49A	U49A
C17orf76-AS1	HBII-135
SNORD65	HBII-135
SREBF1	hsa-mir-33b
